,price,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,host_is_superhost,neighbourhood_cleansed,property_type,room_type,month
count,14824.0,14824.0,12713.0,14800.0,14824.0,14824.0,14824.0,10867.0,14824,14824,14824,14824,14824
unique,,,,,,,,,3,31,83,4,2
top,,,,,,,,,f,Primary Urban Center,Entire condominium,Entire home/apt,month_1
freq,,,,,,,,,9297,3142,7773,13266,7430
mean,387.9485968699406,4.605706961683756,1.7831353732399906,2.419054054054054,7.048704803022126,24.870210469508905,3.0854695089044792,94.8913223520751,,,,,
std,1380.6851047036726,2.3244889363954355,1.0620722669933744,1.6071548156846203,19.157124038125986,47.3998198179176,5.779498074965553,7.837261166346764,,,,,
min,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,,,,,
25%,130.0,3.0,1.0,1.0,1.0,0.0,0.0,93.0,,,,,
50%,202.0,4.0,2.0,2.0,3.0,5.0,1.0,97.0,,,,,
75%,338.0,6.0,2.0,3.0,5.0,28.0,4.0,100.0,,,,,
max,25000.0,16.0,17.0,38.0,365.0,622.0,91.0,100.0,,,,,
median,202.0,4.0,2.0,2.0,3.0,5.0,1.0,97.0,,,,,
null_count,0.0,0.0,2111.0,24.0,0.0,0.0,0.0,3957.0,0,0,0,0,0
